Registro_ANS;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS;0,1,2,3,4,5,6,7,8,9,10,11,12
412996.0;3990914000135.0;ORALE ASSISTÊNCIA ODONTOLÓGICA LTDA;ORALE;Odontologia de Grupo;AVENIDA ANITA GARIBALDI;1133;SALA 1204;ONDINA;Salvador;BA;40170136.0;;;;adm@orale.com.br;MARCOS BARRETO REGIS;ADMINISTRADOR;5.0;2001-01-16;
420972.0;26766016000101.0;ORALPLAN PLANOS DE SAUDE ODONTOLÓGICOS LTDA;ORALPLAN;Odontologia de Grupo;AVENIDA CARAVELAS;03;SALA 28 - ED. GALERIA DIVAMAR;PRAIA DO FRANCES;Marechal Deodoro;AL;57160000.0;;;;diretoria@oralplan.vc;FABIO SANTOS DE ALMEIDA;REPRESENTANTE;5.0;2017-07-21;
404772.0;1628329000164.0;ORION ODONTOLOGIA LTDA;;Odontologia de Grupo;AVENIDA PAULISTA;1765;7º ANDAR, CONJ. 72 - CV 8262;BELA VISTA;São Paulo;SP;1311200.0;11.0;44782800.0;44782800.0;orion@orionodonto.com.br;PAULO CARDONA LICCA;Sócio Administrador;4.0;1999-06-08;
416371.0;7479804000164.0;ORION PLANOS E SERVIÇOS ODONTOLÓGICOS LTDA;ODONTOMIX;Odontologia de Grupo;Rua Visconde de Inhaúma;468;Salão Comercial ;Centro;Ribeirão Preto;SP;14010902.0;;;;andrei@odontomix.com.br;ANDREI SANT' ANA MARQUES DE OLIVEIRA;SÓCIO-ADMINISTRADOR;4.0;2007-09-18;
419991.0;18496204000120.0;OROS OPERADORA DE PLANOS ODONTOLÓGICOS LTDA ME;OROS OPERADORA DE PLANOS ODONTOLÓGICOS;Odontologia de Grupo;AVENIDA JOSÉ RUSCHI;246;;CENTRO;Santa Teresa;ES;29650000.0;27.0;32591077.0;;MARCELOSALVIATO@HOTMAIL.COM;MARCELO NASCIMENTO SALVIATO;SÓCIO ADMINISTRADOR;5.0;2015-12-09;
423483.0;43873924000105.0;P4H GESTAO DE BENEFICIOS LTDA;PEOPLE 4 HEALTH BENEFICIOS;Administradora de Benefícios;Rua Dom Jaime Câmara;170;Salas 101 e 102;Centro;Florianópolis;SC;88015120.0;;;;ricieri@p4hsaude.com;RICIERI DO ROSARIO RAMOS;Sócio Administrador;;2023-02-13;
315265.0;82353079000107.0;PARANA ASSISTENCIA MEDICA LTDA;PAM;Medicina de Grupo;AVENIDA CARLOS CORREA BORGES;1130;SALA 03, TÉRREO E 1 ANDAR;JARDIM GUAPORÉ;Maringá;PR;87060215.0;44.0;32181530.0;32181532.0;juridico@drpam.com.br;ALEXANDRE DA SILVA LIMA;DIRETOR FINANCEIRO;5.0;1998-12-22;
350141.0;76717040000110.0;PARANÁ CLÍNICAS - PLANOS DE SAÚDE S/A;PARANÁ CLÍNICAS;Medicina de Grupo;AVENIDA GETÚLIO VARGAS;3201;;ÁGUA VERDE;Curitiba;PR;80240041.0;41.0;33403023.0;33403042.0;info@paranaclinicas.com.br;RAQUEL REIS CORREA;DIRETORA PRESIDENTE;5.0;1998-12-16;
415782.0;7075561000107.0;PARRA ODONTOLOGIA LTDA;PARRA ODONTOLOGIA - ATUAL CONVENIO;Odontologia de Grupo;RUA MARECHAL RONDON;150;;JARDIM SUMARÉ;Ribeirão Preto;SP;14025430.0;16.0;39416768.0;39416768.0;atual@atualodontologia.com.br;NEWTON BARBOSA PARRA;DIRETOR;6.0;2006-10-25;
331988.0;39419809000198.0;PASA - PLANO DE ASSISTENCIA A SAUDE DO APOSENTADO DA VALE;PASA;Autogestão;AV. PRESIDENTE VARGAS;3131;6º ANDAR, SALAS 605 e 606;CIDADE NOVA;Rio de Janeiro;RJ;20210030.0;21.0;21395702.0;22405625.0;juridico@planopasa.com.br;BRUNO CAMARA MEIRA;DIR. ADMINISTRAÇAO E FINANÇAS;4.0;1998-12-22;
420778.0;14938785000152.0;PASSPORT SYSTEM ODONTOLOGIA LTDA;PASSPORT SYSTEM;Odontologia de Grupo;Avenida Rio Branco ;2672;Sala A;Setor 05;Jaru;RO;76890000.0;69.0;35211342.0;;nhyll_odonto@hotmail.com;NILCELIA ANA MARIN;Administrador;3.0;2017-01-18;
422584.0;38272479000198.0;PB ASSISTENCIA MEDICA EU LTDA;PLANO BRASIL SAUDE;Medicina de Grupo;RUA GARIBALDI;S/N;LOTE 2A LOJA 007;ALPHAVILLE ABRANTES;Camaçari;BA;42821872.0;71.0;84312648.0;;michelle.pacheco@planobrasilsaude.com.br;PAULO BRITO BITTENCOURT;CEO;;2021-01-13;
422355.0;36186642000174.0;PD BRASIL ASSISTENCIA ODONTOLOGICA LTDA;PRODENTAL BRASIL ASSISTENCIA ODONTOLOGICA;Odontologia de Grupo;RUA DR JOSE PEROBA;349;SALAS 1105 E 1106, ED.EMPRESARIAL C. AZU;STIEP ;Salvador;BA;41770235.0;71.0;33884482.0;;victor@prodentalbrasil.com.br;VICTOR SILVEIRA GUSMÃO;DIRETOR EXECUTIVO;6.0;2020-08-04;
421774.0;30495227000116.0;PENTÁGONO ADMINISTRADORA DE BENEFÍCIOS S/A;PENTÁGONO ADMINISTRADORA;Administradora de Benefícios;RUA DOUTOR PEDROSA;183;CASA, CONDOMÍNIO PEDROSA DR CJ;CENTRO;Curitiba;PR;80420120.0;41.0;32771313.0;;pedro@sallusadministradora.com.br;PEDRO PEREIRA;REPRESENTANTE;;2019-06-19;
421707.0;31097886000167.0;PERSONAL CARE OPERADORA DE SAÚDE SA;NORDEN PLANO DE SAÚDE;Medicina de Grupo;RUA CONDE DO PINHAL;739;-;CENTRO;Ibaté;SP;14815000.0;16.0;33632200.0;;contato@meunorden.com;ANTONIO MONTEIRO PINOTTI AFFONSO;SÓCIO ADMINISTRADOR;5.0;2019-07-16;
310239.0;17146846000137.0;PESSOAL SAÚDE PLANOS DE ASSISTÊNCIA MÉDICA LTDA;PESSOAL SAÚDE;Medicina de Grupo;RUA JOSÉ VERSOLATO;101;Bloco A - SL 42;CENTRO;São Bernardo do Campo;SP;9750730.0;;;;elisangela@pessoalsaude.com.br;JOÃO VANDIR VALIM JUNIOR;SÓCIO;5.0;1998-12-31;
419486.0;17897995000138.0;PLADISA PLANOS DE SAÚDE SA;PLADISA;Medicina de Grupo;RUA CORONEL FAGUNDES;100;SALA 02 - EDIFÍCIO DR. ARY DALASEN;CENTRO;Videira;SC;89560156.0;49.0;35660811.0;;pladisa@pladisa.com.br;JOACIR FERREIRA;DIRETOR ADMNISTRATIVO;4.0;2014-09-02;
343463.0;15594468000129.0;PLAMED PLANO DE ASSISTENCIA MEDICA LTDA;PLAMED PLANO DE ASSISTENCIA MEDICA LTDA;Medicina de Grupo;RUA PROFESSOR OSMAN SANTOS OLIVEIRA ;106;;CENTRO ;Nossa Senhora das Dores;SE;49600000.0;79.0;40093100.0;40093121.0;plamed@plamed.com.br;MAÍSA CRUZ MITIDIERI;REPRESENTANTE LEGAL;5.0;1998-12-30;
413551.0;4299994000140.0;PLAMEDH - PLANO DE ASSISTÊNCIA MÉDICO-HOSPITALAR LTDA;PLAMEDH;Medicina de Grupo;RUA QUINTINO BOCAIUVA;232;;CENTRO;São João del Rei;MG;36307302.0;32.0;33715795.0;;gerencia@plamedh.com.br;JOÃO DE FIGUEIREDO PEREIRA CURADO;ADMINISTRADOR;6.0;2001-04-19;
423882.0;52041306000190.0;PLAMEDH PLANOS DE SAÚDE LTDA;PLAMEDH PLANOS  ;Medicina de Grupo;Rua Inconfindência;488;Sala 201A;Centro;Betim;MG;32600100.0;31.0;982611106.0;;joao.figueiredo@plamedh.com.br;JOÃO DE FIGUEIREDO PEREIRA CURADO;Diretor;;2024-02-19;
324299.0;68682715000105.0;PLAMER PLANO MEDICO RESENDE LTDA;PLAMER - PLANO MEDICO RESENDE;Medicina de Grupo;Rua Luiz Ferreira Pinto;42;;Campo do Manejo;Resende;RJ;27520330.0;24.0;33839200.0;33839211.0;ouvidoria@plamer.com.br;ELIZANDRO GUERRA DOS SANTOS;Direto Administrativo - Financeiro;5.0;1998-12-17;
424200.0;56197223000145.0;PLANO A ADMINISTRADORA DE PLANOS DE SAUDE LTDA;;Administradora de Benefícios;AVENIDA JOSE WILKER ATOR;605;SALA 237;BARRA DA TIJUCA;Rio de Janeiro;RJ;22775024.0;21.0;999434833.0;;leonardo@unimedicasaude.com;LIDIANE COSTA PINTO DA SILVA;SOCIO ADMINISTRADOR;;2024-11-25;
363391.0;2513939000185.0;PLANO ASSISTENCIAL SÃO LUCAS LTDA;SÃO LUCAS SAÚDE;Medicina de Grupo;RUA DOM PEDRO II;780;3º ANDAR - SALAS 301 A 304;CENTRO;Governador Valadares;MG;35010090.0;33.0;32797600.0;32797600.0;juniorsaolucassaude@veloxmail.com.br;JOSE FERREIRA JUNIOR;DIRETOR ADMINISTRATIVO;5.0;1999-01-04;
382281.0;22027346000116.0;PLANO DE ASSISTÊNCIA MÉDICA MINEIRA LTDA;PLAM;Medicina de Grupo;RUA ROOSEVELT DE OLIVEIRA;251;;APARECIDA;Uberlândia;MG;38400610.0;34.0;32318012.0;32318012.0;uniaocon@triang.com.br;NEUBER MARTINS FONSECA;DIRETOR ADMINISTRATIVO;6.0;1999-01-04;
417106.0;10767219000174.0;PLANO DE ASSISTÊNCIA ODONTOLÓGICA FAUCHARD LTDA. ME;ODONTO S.A;Odontologia de Grupo;AVENIDA PROFESSOR MAGALHÃES NETO;1550;SALAS 1501 A 1504 - ED. PREMIER TOWER EM;PITUBA;Salvador;BA;41810012.0;71.0;32403176.0;;diretoria@odontosa.com.br;RODRIGO ALVES VASCONCELOS DE ALMEIDA;SÓCIO ADMINISTRADOR;5.0;2009-10-29;
411582.0;3638220000133.0;PLANO DE SAUDE ASES LTDA.;ASES;Medicina de Grupo;RUA CONSELHEIRO OTAVIANO;130;;CENTRO;Campos dos Goytacazes;RJ;28010140.0;22.0;27262000.0;27330866.0;planoases@ases.com.br;RENATO GOMES DE SOUZA VALE;DIRETOR FINANCEIRO;5.0;2000-06-27;
360244.0;2864364000145.0;PLANO DE SAÚDE ANA COSTA LTDA.;PLANO DE SAÚDE ANA COSTA LTDA.;Medicina de Grupo;AV ANA COSTA;468;;GONZAGA;Santos;SP;11060002.0;13.0;32851200.0;32851200.0;anacostasaude@anacostasaude.com.br;ALEXANDRE GINO CAMARGO ZORNIG;REPRESENTANTE LEGAL;5.0;1998-12-16;
420166.0;24645912000189.0;PLANO DE SAÚDE DA SANTA CASA DE BRAGANÇA PAULISTA;SANTA CASA SAÚDE;Medicina de Grupo;RUA ALPHEU GRIMELLO;464;EDIFÍCIO SAN DOMENICO;TABOÃO;Bragança Paulista;SP;12916010.0;11.0;44818015.0;;rosana.lima@scsbp.com.br;JOÃO JOSÉ MARQUES;PRESIDENTE;5.0;2016-07-06;
411256.0;3011072000122.0;PLANO HOSPITAL SAMARITANO LTDA;PHS SAMARITANO SAÚDE;Medicina de Grupo;AV SAO JOSE DOS CAMPOS ;256;ANDAR PISO SUPERIOR ;JARDIM NOVA EUROPA;Campinas;SP;13040145.0;19.0;32322150.0;;phs@samaritosaude.com.br;RICARDO DE CAPRIO;SÓCIO ADMINISTRADOR;5.0;2000-05-12;
415936.0;5983170000157.0;PLANO ODONTOLÓGICO DENTALVIDAS LTDA.;DENTALVIDAS;Odontologia de Grupo;RUA MAGID ANTONIO CALIL;176;;JARDIM BOTÂNICO;Ribeirão Preto;SP;14021644.0;16.0;81643959.0;;atendimento@dentalvidas.com.br; ICARO VILAR MOTA GUIMARÃES;REPRESENTANTE;4.0;2007-03-08;
423408.0;29117294000118.0;PLANO SIGMA SAÚDE LTDA;;Medicina de Grupo;RUA FLORIANO PEIXOTO;1009;;VILA MENDONÇA;Araçatuba;SP;16015000.0;18.0;31176391.0;;reginaldo.sigmasaude@gmail.com;EVALDO DE ARAÚJO SANCHEZ;SÓCIO PROPRIETÁRIO;6.0;2022-12-12;
415987.0;4430627000133.0;PLANO VIDA SAUDE SERVIÇOS ODONTOLOGICOS LTDA;ORAL SANTA HELENA;Odontologia de Grupo;RUA CAMPOS;130;;SÃO JOSE;Aracaju;SE;49015220.0;;;32116668.0;financeiro@oralsantahelena.com.br;JOSAN PEREIRA TENORIO;SÓCIO-ADMINISTRATIVO;6.0;2007-04-13;
416517.0;2704297000100.0;PLANODENTE LTDA.;;Odontologia de Grupo;RUA DOUTOR MILTON BANDEIRA;140;LOJA 202;CENTRO;Viçosa;MG;36570000.0;31.0;38916362.0;38916362.0;PLANODENTE@HOTMAIL.COM;MARIA HELENA PIRES SILVA;ADMINISTRADORA;6.0;2008-01-22;
418986.0;11792899000149.0;PLATINUM ADMINISTRADORA DE BENEFICIOS;;Administradora de Benefícios;SRTVS QUADRA 701, CONJUNTO L, BLOCO 02;38;TÉRREO II, SALA 112;ASA SUL;Brasília;DF;70340906.0;;;;gleciana@platinumbeneficios.com.br;GLECIANA SILVA VIEIRA;ADMINISTRADORA;4.0;2013-08-01;
420956.0;27657711000190.0;PLENA ADMINISTRADORA DE BENEFÍCIOS LTDA - ME;PLENA ADMINISTRADORA DE BENEFÍCIOS;Administradora de Benefícios;RUA JOÃO PESSOA DE MATOS;530;COND. ED. PRE OFFICE TOWER;PRAIA DA COSTA;Vila Velha;ES;29101115.0;27.0;37631360.0;;danilosassaroli@gmail.com;DANILO HADDAD SASSAROLI;Diretor Operacional;5.0;2017-07-13;
348830.0;338763000147.0;PLENA SAÚDE S.A.;PLENA SAÚDE;Medicina de Grupo;AV. RAIMUNDO PEREIRA DE MAGALHAES;12575;SALA 03;PARADA DE TAIPAS;São Paulo;SP;2989095.0;11.0;39445439.0;;regulatorio@plenasaude.com.br;JOSE LUIZ RANIERI;DIRETOR PRESIDENTE;4.0;1998-12-30;
403458.0;1460885000174.0;PLENODONTO ASSISTÊNCIA ODONTOLÓGICA LTDA.;PLENODONTO;Odontologia de Grupo;AV. IPIRANGA;337;10º ANDAR - CJ.101;REPÚBLICA;São Paulo;SP;1046010.0;11.0;31207420.0;;jbosco@plenodonto.com.br;JOÃO BOSCO MUNIZ SIMON;SOCIO GERENTE;4.0;1999-04-14;
423441.0;47432143000136.0;PLENUM ASSISTENCIA MEDICA  LTDA;PLENUM SAUDE ;Medicina de Grupo;QS 1 RUA 210 TORRE 03 - LOTE 34/36;S/N;SALA 312;AGUAS CLARAS ;Brasília;DF;71950770.0;;;;DIRETORIA@PLENUMSAUDE.COM;LUCIO ANTUNES ALVES ;SOCIO - ADMINISTRADOR;;2023-01-18;
418552.0;97553801000116.0;PLURAL GESTÃO EM PLANOS DE SAÚDE LTDA;PLURAL ADMINISTRADORA DE BENEFICIOS;Administradora de Benefícios;AV. RIO BRANCO ;131; 5º ANDAR, SALAS 501 a 504;CENTRO;Rio de Janeiro;RJ;20040006.0;21.0;38616000.0;;andre@pluralsaude.com.br;ANDRÉ LUIZ CORBACHO VIANNA;DIRETOR PRESIDENTE;4.0;2012-06-11;
417751.0;11275925000161.0;PLURICLUB ADMINISTRADORA DE BENEFÍCIOS LTDA.;PLURICLUB ADMINISTRADORA DE BENEFÍCIOS LTDA.;Administradora de Benefícios;SETE DE ABRIL ;230;BLOCO A CONJUNTO 102;REPÚBLICA;São Paulo;SP;1044000.0;11.0;32575258.0;32575258.0;CARECLUB@PLURICARE.COM.BR;LUIZ GUILHERME GOMES PRIMOS;ADMINISTRADOR;4.0;2010-12-20;
351270.0;2896924000143.0;POLI SAUDE OPERADORA DE PLANO DE SAUDE LTDA;POLI SAUDE OPERADORA DE PLANO DE SAUDE LTDA;Medicina de Grupo;RUA PARANÁ;700;;CENTRO;Pato Branco;PR;85501074.0;46.0;32242210.0;;polisaude@polisaudepb.com.br;JULIANE BLEICH;REPRESENTANTE JUNTO À ANS;5.0;1998-12-24;
415693.0;4202013000102.0;POLICLIN SAÚDE S/A.;;Medicina de Grupo;AV NOVE DE JULHO ;355;;JARDIM APOLO;São José dos Campos;SP;12243000.0;12.0;37972833.0;37972833.0;contato.ans@policlinsaude.com.br;CYRO ALVES DE BRITTO FILHO;DIRETOR;5.0;2006-08-02;
316903.0;93507895000136.0;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;POLIMÉDICA SAÚDE;Medicina de Grupo;RUA GENERAL NETO;353;;FLORESTA;Porto Alegre;RS;90560020.0;51.0;32213428.0;32213666.0;polimedica@polimedica.com.br;SANDRA RENATA MARCONATO WOLF;ADMINISTRADORA;4.0;1998-12-28;
346870.0;89890172000191.0;PORTO ALEGRE CLÍNICAS LTDA.;POA CLIN;Medicina de Grupo;Rua dos Andradas;955;3º andar, apto. 302 - salas 02, 06 e 07;CENTRO HISTÓRICO ;Porto Alegre;RS;90020005.0;51.0;30417855.0;32873621.0;portoalegreclinicas@portoalegreclinicas.com.br;MARIA CRISTINA NUNES DAS CHAGAS;SÓCIA ADMINISTRADORA;4.0;1998-12-22;
415081.0;6145428000109.0;PORTO DIAS SAUDE LTDA.;PORTO DIAS SAUDE;Medicina de Grupo;TRAVESSA MAURITI;3050;SALA 1;MARCO;Belém;PA;66093020.0;;;30843038.0;adrianadias@hpd.com.br;ANTONIO CARLOS CORREA DIAS;REPRESENTANTE;6.0;2005-02-03;
582.0;4540010000170.0;PORTO SEGURO - SEGURO SAÚDE S/A;PORTO SEGURO SAÚDE;Seguradora Especializada em Saúde;Alameda Barão de Piracicaba;740;Torre B, 8º andar, Lado B;CAMPOS ELISEOS;São Paulo;SP;1216012.0;11.0;33665199.0;33668823.0;diretoria@portoseguro.com.br;LUIZ VICENTE GUARANHA LAPENTA;DIRETOR DE PRECIFICAÇÃO;4.0;2001-07-31;
418625.0;13991711000117.0;PORTO SEGURO SERVIÇOS ODONTOLÓGICOS LTDA.;PORTO DENTAL;Odontologia de Grupo;RUA GUAIANASES;1238;MEZANINO - PARTE;CAMPOS ELISEOS;São Paulo;SP;1204002.0;;;;regulacao.saude@portoseguro.com.br;LUIZ VICENTE GUARANHA LAPENTA;DIRETOR DE PRECIFICAÇÃO;4.0;2012-10-08;
417491.0;11565995000154.0;PORTOMED - PORTO SEGURO SERVIÇOS DE SAUDE LTDA;;Medicina de Grupo;RUA GUAIANASES;1238;MEZANINO/PARTE;CAMPOS ELISEOS;São Paulo;SP;1204001.0;11.0;33661722.0;33668823.0;diretoria@portoseguro.com.br;LUIZ VICENTE GUARANHA LAPENTA;DIRETOR DE PRECIFICAÇÃO;4.0;2010-08-13;
420280.0;25006061000197.0;POSITIVA ADMINISTRADORA DE BENEFICIOS LTDA;POSITIVA ADMINISTRADORA DE BENEFÍCIOS;Administradora de Benefícios;ALAMEDA CAMPINAS;457;8º andar - cj, D;JARDIM PAULISTA;São Paulo;SP;1404100.0;11.0;41181040.0;;paulo.sampaio@positiva.com.br;PAULO HENRIQUE MOURÃO SAMPAIO;ADMINISTRADOR;1.0;2016-11-08;
419133.0;18275071000162.0;POSTAL SAÚDE CAIXA DE ASSISTÊNCIA E SAÚDE DOS EMPREGADOS DOS CORREIOS;POSTAL SAÚDE;Autogestão;SHS;QUADRA 2 ;BLOCO B,  nº 2 - Ed. TELEX - 1º e 2º and;ASA SUL;Brasília;DF;70312970.0;61.0;34256777.0;;ans@postalsaude.com.br;ELI PINTO DE MELO JÚNIOR;DIRETOR PRESIDENTE;1.0;2013-09-25;
421413.0;28187357000140.0;PP HEALTH ADMINISTRADORA DE BENEFÍCIOS LTDA-ME;PP HEALTH ADMINISTRADORA DE BENEFÍCIOS;Administradora de Benefícios;Rua Buenos Aires;441;Sala 33;Batel;Curitiba;PR;80250070.0;41.0;30166153.0;;diretoria@pphealth.com.br;MAREDITH PEREIRA RIBEIRO SELL;SÓCIA ADMINISTRADORA;1.0;2018-11-28;
422959.0;41929347000109.0;PRESERVE SAUDE ASSISTENCIA MEDICA LTDA;PRESERVE;Medicina de Grupo;PC GIL MOREIRA;1.0;EDIF GIL MOREIRA SALA 4;RECREIO;Vitória da Conquista;BA;45020360.0;;;;diretoria@preservesaude.com.br;ANUCHE DE BRITO LIRA;REPRESENTANTE LEGAL;;2021-08-24;
384844.0;2072276000100.0;PREST ODONTO LTDA;PREST ODONTO LTDA;Odontologia de Grupo;RUA CORONEL JOÃO LEME;688;EV. 3;CENTRO;Bragança Paulista;SP;12900161.0;;;;diretoria@prestodonto.com.br;JOÃO BOSCO MUNIZ SIMON;SÓCIO ADMINISTRADOR;6.0;1999-01-07;
410420.0;3310432000197.0;PREV-DONT ODONTOLOGICA LTDA.;PREV-DONT;Odontologia de Grupo;RUA CORONEL. FRANCISCO PEREIRA;385;SALA 02;MESSEJANA;Fortaleza;CE;60840290.0;85.0;30771259.0;4742060.0;prevdont@gmail.com;JOSÉ ALONSO PALMEIRA DIAS;DIRETOR PRESIDENTE;5.0;2000-01-21;
413267.0;4234059000103.0;PREVENT SENIOR CORPORATE OPERADORA DE SAÚDE LTDA.;;Medicina de Grupo;AVENIDA BRIGADEIRO LUIZ ANTONIO;3521;14º ANDAR;JARDIM PAULISTA;São Paulo;SP;1401001.0;1.0;131479192.0;131479191.0;juridico.rs@preventsenior.com.br;EDUARDO FAGUNDES PARRILLO;ADMINISTRADOR;4.0;2001-03-07;
302147.0;461479000163.0;PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA;PREVENT SENIOR;Medicina de Grupo;AVENIDA BRIGADEIRO LUIZ ANTÔNIO;3521;15º ANDAR;JARDIM PAULISTA;São Paulo;SP;1401001.0;11.0;50700770.0;33721579.0;ps.ans@preventsenior.com.br;FERNANDO FAGUNDES PARRILLO;ADMINISTRADOR;4.0;1998-12-22;
421804.0;29628003000156.0;PREVER ADMINISTRADORA DE BENEFÍCIOS LTDA;PREVER ADMINISTRADORA DE BENEFÍCIOS LTDA;Administradora de Benefícios;RUA ALFERES POLI;1681;;Rebouças;Curitiba;PR;80220050.0;41.0;21051370.0;;wellington.alves@preverbeneficios.com.br;WELLINGTON FRANCISCO ALVES;Diretor;4.0;2019-09-02;
374440.0;56269913000162.0;PREVIDENT ASSISTÊNCIA ODONTOLÓGICA S.A;PREVIDENT;Odontologia de Grupo;Rua Funchal;538;SL 24;Vila Olímpia;São Paulo;SP;4551060.0;11.0;33230733.0;;comercial@prevident.com.br;JOSÉ HERMICESAR BRILHANTE PALMEIRA;ADMINISTRADOR;4.0;1999-01-05;
403636.0;3073235000100.0;PREVINA ODONTOLOGIA LTDA;PREVINA;Odontologia de Grupo;RUA CAMILO CHAGAS;275;SALA 2;CENTRO;Conchal;SP;13835000.0;19.0;38663680.0;38661448.0;adm@previnaodonto.com.br;AUGUSTO RAIMUNDO RIBEIRO;ADMINISTRADOR;6.0;1999-04-19;
418307.0;13951333000148.0;PREVISÃO ADMINISTRADORA DE BENEFÍCIOS LTDA.;;Administradora de Benefícios;RUA DA QUITANDA;70;6ª ANDAR - PARTE;CENTRO;Rio de Janeiro;RJ;20011030.0;21.0;25090180.0;;contato@previsaobeneficios.com.br;ERNESTO SAMUEL FLORIANO DA CRUZ CIAMPOLINI;ADMINISTRADOR;4.0;2011-11-21;
416525.0;8787782000162.0;PRIMA VIDA ODONTOLOGIA DE GRUPO LIMITADA;PRIMA VIDA;Odontologia de Grupo;AVENIDA RIO BRANCO;123;SALA 2106 A 2111;CENTRO;Rio de Janeiro;RJ;20040005.0;21.0;32994501.0;;primavida@primavida.com.br;KLÉBER BERNARDES DA SILVA;SÓCIO GERENTE;3.0;2008-01-30;
424161.0;49168700000189.0;PRO-SAUDE JARINU ASSISTENCIA MEDICA SUPLEMENTAR LTDA.;;Medicina de Grupo;AV JOSE MANARA;450;SALA 201;FIM DO CAMPO;Jarinu;SP;13240000.0;11.0;934282221.0;;jampereira@hnj.com.br;JOSOE AUGUSTO GOMES MARQUES PEREIRA;SOCIO ADMINISTRADOR;;2024-10-14;
310522.0;2752923000125.0;PROASA - PROGRAMA ADVENTISTA DE SAÚDE;ADVENTIST HEALTH;Medicina de Grupo;AV L3 SUL;611;SGAS MOD. 75/76;ASA SUL;Brasília;DF;70200710.0;51.0;33451818.0;33457778.0;secretaria.proasa@proasa.org.br;GILNEI VIVEIRO DE ABREU;DIRETOR GERAL;3.0;1998-12-18;
424251.0;56211050000172.0;PROLIFE ADMINISTRADORA  DE SAUDE LTDA;;Administradora de Benefícios;RUA MADRE MARIA VICTORIA;90;SALA 302;CHARITAS;Niterói;RJ;24370035.0;21.0;96422522.0;;mariageraldine@elegibilidadebrasil.org;MARIA GERALDINE COUCEIRO;ADMINISTRADORA;;2024-12-16;
326861.0;15214919000155.0;PROMÉDICA - PROTEÇÃO MEDICA A EMPRESAS S.A.;PROMEDICA;Medicina de Grupo;RUA SOL NASCENTE;43 ;ED. CENTRO MÉDICO EMPRESARIAL VITRAUX  S;FEDERAÇÃO;Salvador;BA;40210760.0;71.0;32719103.0;32719104.0;promedica.ans@promedica.com.br;JORGE ANTONIO DUARTE OLIVEIRA;DIRETOR ADMINISTRATIVO-FINANC;3.0;1998-12-17;
417475.0;51628360000173.0;PRONTO SOCORRO CONDE DE MOREIRA LIMA;CAS - CONTRATO DE ASSISTÊNCIA À SAÚDE;Medicina de Grupo;RUA DOM BOSCO;562;;CENTRO;Lorena;SP;12600100.0;12.0;33011408.0;;gerente.administrativo@caslorena.com.br;MARIO TEIXEIRA DA SILVA;DIRETOR ADMINISTRATIVO;6.0;2010-08-03;
305626.0;22666341000133.0;PRONTOCLINICA E HOSPITAIS SAO LUCAS S/A;PLANO DE SAUDE SAO LUCAS;Medicina de Grupo;AV. AFONSO PENA;544;SALA 01;CENTRO;Montes Claros;MG;39400098.0;38.0;32183000.0;;ans@saolucas.org;DILSON DE QUADROS GODINHO NETO;PRESIDENTE;5.0;1998-12-22;
301728.0;20168589000149.0;PRONTOMED PLANOS DE SAÚDE LTDA;PRONTOMED LTDA.;Medicina de Grupo;AV. SETE DE SETEMBRO;1161;;CENTRO;Divinópolis;MG;35500011.0;37.0;351232013216.0;35123209.0;prontomed@prontomedmg.com.br;WALDEMAR HENRIQUE RAUSCH JUNIOR;SOCIO GERENTE;5.0;1998-12-23;
421383.0;29846400000102.0;PROPULSÃO PLANOS ODONTOLÓGICOS LTDA;PROPULSÃO PLANOS ODONTOLÓGICOS;Odontologia de Grupo;AV ADVOGADO HORACIO RACCANELLO FILHO;6170;SALA 5;ZONA 01;Maringá;PR;87045200.0;;;;rodrigo@propulsaodental.com.br;RODRIGO DUENHA PORTA;SÓCIO ADMINISTRADOR;6.0;2018-09-12;
422533.0;35365314000172.0;PROVER ODONTOLOGIA LTDA;PROVER ODONTO;Odontologia de Grupo;RUA DA PAZ;483;;JARDIM DOS ESTADOS ;Campo Grande;MS;79020250.0;37.0;34425831.0;;ericsson@proversaude.com.br;ERICSSON FLAVIO CAVALCANTI;DIRETOR;3.0;2020-12-10;
422193.0;35148586000110.0;PRUDENTE ADMINISTRADORA DE BENEFICIOS LTDA;;Administradora de Benefícios;AVENIDA SENADOR FEIJÓ;686;SALA 731;VILA MATHIAS;Santos;SP;11015504.0;13.0;32240030.0;;notificacao@prudenteadministradora.com.br;BRAULIO DE SOUSA LIMA;ADMINISTRADOR;6.0;2020-03-26;
422703.0;32543196000157.0;PS ASSISTENCIA LTDA;MEU DENTISTA;Odontologia de Grupo;Avenida Eldes Scherrer Souza;975;Sala 801;Parque Residencial Laranjeiras;Serra;ES;29165680.0;27.0;30655232.0;;vinicius.franco@meudentista.com.br;EDUARDO LUIZ NASCIMENTO PONTES;Administrador;5.0;2021-05-11;
